dtstart,dtend,uid,description,salle
2023-11-28T07:00:00Z,2023-11-28T18:00:00Z,Cours-2548-23-M1-ILSEN-alt-GR1-Index-Education,"Matiere : Reservation de salles\nTD : IA-IL-ALT, M1-IA-IL-ALT, M1-ILSEN-alt, M1-ILSEN-alt-GR1, M1-ILSEN-alt-GR2, M1-SICOM-Alt, M1IL-CMI-alt, M2IL-Alt-Gr1, M2IL-Alt-Gr2, M2SI-Alt\nMemo : entreprise\n",
2023-12-26T07:00:00Z,2023-12-26T18:00:00Z,Cours-2548-27-M1-ILSEN-alt-GR1-Index-Education,"Matiere : Reservation de salles\nTD : IA-IL-ALT, IA-SI-ALT, M1-IA-IL-ALT, M1-IA-SI-ALT, M1-ILSEN-alt, M1-ILSEN-alt-GR1, M1-ILSEN-alt-GR2, M1-SICOM-Alt, M1IL-CMI-alt, M2IL-Alt-Gr1, M2IL-Alt-Gr2, M2SI-Alt\nMemo : entreprise\n",
2024-01-02T07:00:00Z,2024-01-02T18:00:00Z,Cours-2548-28-M1-ILSEN-alt-GR1-Index-Education,"Matiere : Reservation de salles\nTD : IA-IL-ALT, IA-SI-ALT, M1-IA-IL-ALT, M1-IA-SI-ALT, M1-ILSEN-alt, M1-ILSEN-alt-GR1, M1-ILSEN-alt-GR2, M1-SICOM-Alt, M1IL-CMI-alt, M2IL-Alt-Gr1, M2IL-Alt-Gr2, M2SI-Alt\nMemo : entreprise\n",
2024-01-16T07:00:00Z,2024-01-16T18:00:00Z,Cours-2548-30-M1-ILSEN-alt-GR1-Index-Education,"Matiere : Reservation de salles\nTD : IA-IL-ALT, M1-IA-IL-ALT, M1-ILSEN-alt, M1-ILSEN-alt-GR1, M1-ILSEN-alt-GR2, M1-SICOM-Alt, M1IL-CMI-alt, M2IL-Alt-Gr1, M2IL-Alt-Gr2, M2SI-Alt\nMemo : entreprise\n",
2024-01-23T07:00:00Z,2024-01-23T18:00:00Z,Cours-2548-31-M1-ILSEN-alt-GR1-Index-Education,"Matiere : Reservation de salles\nTD : IA-IL-ALT, IA-SI-ALT, M1-IA-IL-ALT, M1-IA-SI-ALT, M1-ILSEN-alt, M1-ILSEN-alt-GR1, M1-ILSEN-alt-GR2, M1-SICOM-Alt, M1IL-CMI-alt, M2IL-Alt-Gr1, M2IL-Alt-Gr2, M2SI-Alt\nMemo : entreprise\n",
2024-02-20T07:00:00Z,2024-02-20T18:00:00Z,Cours-2548-35-M1-ILSEN-alt-GR1-Index-Education,"Matiere : Reservation de salles\nTD : M1-IA-IL-ALT, M1-IA-SI-ALT, M1-ILSEN-alt, M1-ILSEN-alt-GR1, M1-ILSEN-alt-GR2, M1-SICOM-Alt, M1IL-CMI-alt\nMemo : entreprise\n",
2024-02-27T07:00:00Z,2024-02-27T18:00:00Z,Cours-2548-36-M1-ILSEN-alt-GR1-Index-Education,"Matiere : Reservation de salles\nTD : M1-IA-IL-ALT, M1-IA-SI-ALT, M1-ILSEN-alt, M1-ILSEN-alt-GR1, M1-ILSEN-alt-GR2, M1-SICOM-Alt, M1IL-CMI-alt\nMemo : entreprise\n",
2024-03-26T07:00:00Z,2024-03-26T18:00:00Z,Cours-2548-40-M1-ILSEN-alt-GR1-Index-Education,"Matiere : Reservation de salles\nTD : M1-IA-IL-ALT, M1-IA-SI-ALT, M1-ILSEN-alt, M1-ILSEN-alt-GR1, M1-ILSEN-alt-GR2, M1-SICOM-Alt, M1IL-CMI-alt\nMemo : entreprise\n",
2024-04-02T06:00:00Z,2024-04-02T17:00:00Z,Cours-2548-41-M1-ILSEN-alt-GR1-Index-Education,"Matiere : Reservation de salles\nTD : M1-IA-IL-ALT, M1-IA-SI-ALT, M1-ILSEN-alt, M1-ILSEN-alt-GR1, M1-ILSEN-alt-GR2, M1-SICOM-Alt, M1IL-CMI-alt\nMemo : entreprise\n",
2024-04-23T06:00:00Z,2024-04-23T17:00:00Z,Cours-2548-44-M1-ILSEN-alt-GR1-Index-Education,"Matiere : Reservation de salles\nTD : M1-IA-IL-ALT, M1-IA-SI-ALT, M1-ILSEN-alt, M1-ILSEN-alt-GR1, M1-ILSEN-alt-GR2, M1-SICOM-Alt, M1IL-CMI-alt\nMemo : entreprise\n",
