dtstart,dtend,uid,description,salle
2024-03-25T10:30:00Z,2024-03-25T11:30:00Z,Cours-82548-40-M1-IA-IL-CLA-Index-Education,"Matiere : Reservation de salles\nEnseignant : HUET Stephane\nPromotion : L2 INFORMATIQUE\nTD : L3INFO_TD1 + CMI, L3INFO_TD2, L3INFO_TD3, L3INFO_TD4, M1-IA-IL-CLA, M1-IA-SI-CLA, M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2, M1-SICOM-Cla, M1IL-CMI-cla\nSalle : Amphi Blaise\nMemo : Presentation de l'alternance\n",Amphi Blaise
2024-01-22T13:00:00Z,2024-01-22T16:00:00Z,Cours-75618-31-M1-IA-IL-CLA-Index-Education,"Matiere : UCE 1 ANGLAIS (ORIENTE ENTREP\nEnseignant : REY Carole\nTD : M1-IA-IL-CLA, M1-ILSEN-cla-Gr1, M1-SICOM-Cla\nSalle : S3 = C 036\nType : Rattrapage\n",S3 = C 036
2024-04-12T06:30:00Z,2024-04-12T08:00:00Z,Cours-79616-42-M1-IA-IL-CLA-Index-Education,"Matiere : UE PROJET 2\nEnseignants : HADDAD Majed, VERNET Mathilde\nTD : M1-IA-IL-CLA, M1-IA-SI-CLA, M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2, M1-SICOM-Cla\nSalle : S5 = C 024\nType : CM/TD\nMemo : 2eme rencontre\n",S5 = C 024
2023-11-07T12:00:00Z,2023-11-07T15:00:00Z,Cours-80070-20-M1-IA-IL-CLA-Index-Education,"Matiere : UCE 2 MANAGEMENT PAR LES PROC\nEnseignant : MARTIN Yannis\nTD : M1-IA-IL-ALT, M1-IA-IL-CLA, M1-ILSEN-alt-GR2, M1-ILSEN-cla-Gr1, M1-SICOM-Alt, M1-SICOM-Cla\nSalle : Amphi Ada\nType : CM\n",Amphi Ada
2023-11-14T12:00:00Z,2023-11-14T15:00:00Z,Cours-80070-21-M1-IA-IL-CLA-Index-Education,"Matiere : UCE 2 MANAGEMENT PAR LES PROC\nEnseignant : MARTIN Yannis\nTD : M1-IA-IL-ALT, M1-IA-IL-CLA, M1-ILSEN-alt-GR2, M1-ILSEN-cla-Gr1, M1-SICOM-Alt, M1-SICOM-Cla\nSalle : Amphi Ada\nType : CM\n",Amphi Ada
2024-03-25T07:30:00Z,2024-03-25T10:30:00Z,Cours-81557-40-M1-IA-IL-CLA-Index-Education,Matiere : UCE 1 TECHNIQUES DE TEST\nEnseignant : BONNEFOY Ludovic\nTD : M1-IA-IL-CLA\nSalle : Stat 4 = Info - C 131\nType : TP\n,Stat 4 = Info - C 131
2024-04-12T09:30:00Z,2024-04-12T10:30:00Z,Cours-82553-42-M1-IA-IL-CLA-Index-Education,"Matiere : Reservation de salles\nEnseignant : HUET Stephane\nPromotion : L2 INFORMATIQUE\nTD : L3INFO_TD1 + CMI, L3INFO_TD2, L3INFO_TD3, L3INFO_TD4, M1-IA-IL-CLA, M1-IA-SI-CLA, M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2, M1-SICOM-Cla, M1IL-CMI-cla\nSalle : Amphi Ada\nMemo : Informations pratiques sur l'alternance\n",Amphi Ada
2023-09-11T08:00:00Z,2023-09-11T09:30:00Z,Cours-2643-12-M1-IA-IL-CLA-Index-Education,"Matiere : Rentree specifique\nEnseignants : BENSLIMANE Abderrahim, LABATUT Vincent, ROUVIER Mickael\nPromotions : M1 INGE DU LOGICIEL DE LA SOCIETE NUM (ILSEN), M1 INTELLIGENCE ARTIFICIELLE (IA), M1 SYSTEMES INFORMATIQUES COMMUNICANTS (SICOM), M2 INGE DU LOGICIEL DE LA SOCIETE NUM (ILSEN), M2 INTELLIGENCE ARTIFICIELLE (IA), M2 SYSTEMES INFORMATIQUES COMMUNICANTS (SICOM)\nSalle : Amphi Ada\nMemo : reunion de rentree du master informatique\n",Amphi Ada
2023-10-10T14:00:00Z,2023-10-10T17:00:00Z,Cours-2652-16-M1-IA-IL-CLA-Index-Education,"Matiere : Reservation de salles\nEnseignants : FIGUEIREDO Rosa, VERNET Mathilde\nPromotions : L1 INFORMATIQUE, L2 INFORMATIQUE, L3 INFORMATIQUE, M1 INGE DU LOGICIEL DE LA SOCIETE NUM (ILSEN), M1 INTELLIGENCE ARTIFICIELLE (IA), M1 SYSTEMES INFORMATIQUES COMMUNICANTS (SICOM), M2 INGE DU LOGICIEL DE LA SOCIETE NUM (ILSEN), M2 INTELLIGENCE ARTIFICIELLE (IA), M2 SYSTEMES INFORMATIQUES COMMUNICANTS (SICOM)\nSalle : Amphi Blaise\nMemo : reunion d'information Ada Lovelace\n",Amphi Blaise
2023-10-20T15:30:00Z,2023-10-20T18:00:00Z,Cours-2653-17-M1-IA-IL-CLA-Index-Education,"Matiere : Reservation de salles\nEnseignants : BENSLIMANE Abderrahim, FIGUEIREDO Rosa, HUET Stephane, JABAIAN Bassam, LABATUT Vincent, MATROUF Driss, ROUVIER Mickael, SPRIET Thierry\nPromotions : M1 INGE DU LOGICIEL DE LA SOCIETE NUM (ILSEN), M1 INTELLIGENCE ARTIFICIELLE (IA), M1 SYSTEMES INFORMATIQUES COMMUNICANTS (SICOM)\nTD : OCCA CV 5\nSalle : Amphi Blaise\nMemo : ceremonie de remise des diplômes\n",Amphi Blaise
