dtstart,dtend,uid,salle,Matiere,Enseignants,Type,Memo,Formation
2023-10-10T12:30:00Z,2023-10-10T14:00:00Z,Cours-5938-16-M1-IA-IL-CLA-Index-Education,Stat 8 = Info - C 127,UCE 1 INTRODUCTION A L'INTELL,LEFEVRE Fabrice,TP,,AI-CLA
2023-10-26T14:00:00Z,2023-10-26T17:00:00Z,Cours-5950-18-M1-IA-IL-CLA-Index-Education,Stat 7 = Info - C 128,UCE 1 DESIGN PATTERN AVANCE,NABITZ Sophie,TP,,AI-CLA
2023-11-08T09:00:00Z,2023-11-08T12:00:00Z,Cours-5951-20-M1-IA-IL-CLA-Index-Education,,UCE 1 INTRODUCTION A L'INTELL,LEFEVRE Fabrice,TP,,AI-CLA
2023-09-15T15:30:00Z,2023-09-15T17:00:00Z,Cours-5961-12-M1-IA-IL-CLA-Index-Education,S5 = C 024,UCE 2 APPRENTISSAGE NON-SUPER,LABATUT Vincent,CM,,AI-CLA
2023-09-13T15:30:00Z,2023-09-13T17:00:00Z,Cours-5964-12-M1-IA-IL-CLA-Index-Education,S6 = C 022,UCE 2 APPRENTISSAGE NON-SUPER,LABATUT Vincent,CM,,AI-CLA
2023-10-16T12:30:00Z,2023-10-16T14:00:00Z,Cours-5972-17-M1-IA-IL-CLA-Index-Education,,UCE 2 APPRENTISSAGE NON-SUPER,LABATUT Vincent,CM,,AI-CLA
2023-11-09T09:00:00Z,2023-11-09T10:30:00Z,Cours-5974-20-M1-IA-IL-CLA-Index-Education,S6 = C 022,UCE 2 APPRENTISSAGE NON-SUPER,LABATUT Vincent,CM,,AI-CLA
2023-10-13T15:30:00Z,2023-10-13T17:00:00Z,Cours-5975-16-M1-IA-IL-CLA-Index-Education,S7 = C 032,UCE 2 APPRENTISSAGE NON-SUPER,LABATUT Vincent,TD,,AI-CLA
2023-09-18T06:30:00Z,2023-09-18T08:00:00Z,Cours-5980-13-M1-IA-IL-CLA-Index-Education,S6 = C 022,UCE 2 APPRENTISSAGE NON-SUPER,LABATUT Vincent,CM,,AI-CLA
2023-10-09T06:30:00Z,2023-10-09T08:00:00Z,Cours-5980-16-M1-IA-IL-CLA-Index-Education,S6 = C 022,UCE 2 APPRENTISSAGE NON-SUPER,LABATUT Vincent,CM,,AI-CLA
2023-12-04T07:30:00Z,2023-12-04T09:00:00Z,Cours-5980-24-M1-IA-IL-CLA-Index-Education,S6 = C 022,UCE 2 APPRENTISSAGE NON-SUPER,LABATUT Vincent,CM,,AI-CLA
2023-12-06T10:30:00Z,2023-12-06T12:00:00Z,Cours-5981-24-M1-IA-IL-CLA-Index-Education,S6 = C 022,UCE 2 APPRENTISSAGE NON-SUPER,LABATUT Vincent,TD,,AI-CLA
2023-12-05T13:30:00Z,2023-12-05T15:00:00Z,Cours-5982-24-M1-IA-IL-CLA-Index-Education,S6 = C 022,UCE 2 APPRENTISSAGE NON-SUPER,LABATUT Vincent,TD,,AI-CLA
2023-11-17T13:30:00Z,2023-11-17T15:00:00Z,Cours-5983-21-M1-IA-IL-CLA-Index-Education,S6 = C 022,UCE 2 APPRENTISSAGE NON-SUPER,LABATUT Vincent,TD,,AI-CLA
2023-11-14T07:30:00Z,2023-11-14T09:00:00Z,Cours-5984-21-M1-IA-IL-CLA-Index-Education,S7 = C 032,UCE 2 APPRENTISSAGE NON-SUPER,LABATUT Vincent,CM,,AI-CLA
2023-12-21T07:30:00Z,2023-12-21T09:30:00Z,Cours-5986-26-M1-IA-IL-CLA-Index-Education,S4 = C 034,UCE 2 APPRENTISSAGE NON-SUPER,LABATUT Vincent,Evaluation,,AI-CLA
2024-01-08T12:00:00Z,2024-01-08T13:30:00Z,Cours-6007-29-M1-IA-IL-CLA-Index-Education,S5 = C 024,UCE 3 OPTIMISATION NON-LINEAI,GUEYE Serigne,Evaluation,,AI-CLA
2023-11-13T13:30:00Z,2023-11-13T16:30:00Z,Cours-6027-21-M1-IA-IL-CLA-Index-Education,Stat 8 = Info - C 127,UCE 3 OPTIMISATION NON-LINEAI,GUEYE Serigne,CM,,AI-CLA
2023-12-18T07:30:00Z,2023-12-18T10:30:00Z,Cours-6033-26-M1-IA-IL-CLA-Index-Education,Stat9 = Info - C 026,UCE 3 OPTIMISATION NON-LINEAI,GUEYE Serigne,CM,,AI-CLA
2023-12-15T07:30:00Z,2023-12-15T09:00:00Z,Cours-6034-25-M1-IA-IL-CLA-Index-Education,Amphi Ada,UCE 3 OPTIMISATION NON-LINEAI,GUEYE Serigne,TP,,AI-CLA
2023-12-19T09:00:00Z,2023-12-19T12:00:00Z,Cours-6035-26-M1-IA-IL-CLA-Index-Education,Stat9 = Info - C 026,UCE 3 OPTIMISATION NON-LINEAI,GUEYE Serigne,TP,,AI-CLA
2023-09-15T12:30:00Z,2023-09-15T14:00:00Z,Cours-6045-12-M1-IA-IL-CLA-Index-Education,S5 = C 024,UCE 4 TRAITEMENT AUTOMATIQUE,ROUVIER Mickael,CM,,AI-CLA
2023-09-21T12:30:00Z,2023-09-21T14:00:00Z,Cours-6046-13-M1-IA-IL-CLA-Index-Education,S5 = C 024,UCE 4 TRAITEMENT AUTOMATIQUE,ROUVIER Mickael,CM,,AI-CLA
2023-12-13T10:30:00Z,2023-12-13T12:00:00Z,Cours-6050-25-M1-IA-IL-CLA-Index-Education,S5 = C 024,UCE 4 TRAITEMENT AUTOMATIQUE,ROUVIER Mickael,CM,,AI-CLA
2023-12-15T09:00:00Z,2023-12-15T12:00:00Z,Cours-6053-25-M1-IA-IL-CLA-Index-Education,Stat 1 = Info - C 137,UCE 4 TRAITEMENT AUTOMATIQUE,ROUVIER Mickael,TP,,AI-CLA
2024-01-10T07:30:00Z,2024-01-10T10:30:00Z,Cours-6055-29-M1-IA-IL-CLA-Index-Education,S5 = C 024,UCE 4 TRAITEMENT AUTOMATIQUE,ROUVIER Mickael,Evaluation,,AI-CLA
2023-09-18T14:00:00Z,2023-09-18T15:30:00Z,Cours-6057-13-M1-IA-IL-CLA-Index-Education,S6 = C 022,UCE 2 APPRENTISSAGE NON-SUPER,LABATUT Vincent,TD,,AI-CLA
2023-10-19T14:00:00Z,2023-10-19T17:00:00Z,Cours-6059-17-M1-IA-IL-CLA-Index-Education,Amphi Blaise,UCE 1 DESIGN PATTERN AVANCE,NABITZ Sophie,CM,,AI-CLA
2023-10-16T11:00:00Z,2023-10-16T12:30:00Z,Cours-6074-17-M1-IA-IL-CLA-Index-Education,,UCE 4 TRAITEMENT AUTOMATIQUE,ROUVIER Mickael,CM,,AI-CLA
2023-10-13T11:00:00Z,2023-10-13T14:00:00Z,Cours-6076-16-M1-IA-IL-CLA-Index-Education,Stat 4 = Info - C 131,UCE 4 TRAITEMENT AUTOMATIQUE,ROUVIER Mickael,TP,,AI-CLA
2023-10-26T11:00:00Z,2023-10-26T14:00:00Z,Cours-7115-18-M1-IA-IL-CLA-Index-Education,"Stat 6 = Info - C 129, Stat 7 = Info - C 128",UCE 4 APPLICATION DE CONCEPTI,ROUVIER Mickael,TP,,AI-CLA
2024-01-16T09:00:00Z,2024-01-16T12:00:00Z,Cours-7182-30-M1-IA-IL-CLA-Index-Education,"Stat 1 = Info - C 137, Stat 2 = Info - C 136",UCE 4 APPLICATION DE CONCEPTI,ROUVIER Mickael,TP,,AI-CLA
2024-01-09T15:00:00Z,2024-01-09T18:00:00Z,Cours-20569-29-M1-IA-IL-CLA-Index-Education,Amphi Blaise,UCE 3 GESTION DE PROJET,COSTA Jean-pierre,Evaluation,,AI-CLA
2024-01-09T10:30:00Z,2024-01-09T12:00:00Z,Cours-20588-29-M1-IA-IL-CLA-Index-Education,Amphi Ada,UCE 3 GESTION DE PROJET,COSTA Jean-pierre,CM,,AI-CLA
2023-09-18T11:00:00Z,2023-09-18T14:00:00Z,Cours-29631-13-M1-IA-IL-CLA-Index-Education,Amphi Ada,UCE 2 MANAGEMENT PAR LES PROC,PUY CAZCARRA Emmanuel,CM,,AI-CLA
2023-11-16T16:30:00Z,2023-11-16T18:00:00Z,Cours-29679-21-M1-IA-IL-CLA-Index-Education,S4 = C 034,UCE 2 APPRENTISSAGE NON-SUPER,LABATUT Vincent,TD,,AI-CLA
2023-12-13T15:00:00Z,2023-12-13T18:00:00Z,Cours-29703-25-M1-IA-IL-CLA-Index-Education,Amphi Blaise,UCE 2 MANAGEMENT PAR LES PROC,PUY CAZCARRA Emmanuel,CM,,AI-CLA
2023-12-21T10:30:00Z,2023-12-21T12:00:00Z,Cours-29706-26-M1-IA-IL-CLA-Index-Education,Amphi Blaise,UCE 2 MANAGEMENT PAR LES PROC,PUY CAZCARRA Emmanuel,Evaluation,,AI-CLA
2023-12-12T15:00:00Z,2023-12-12T16:30:00Z,Cours-29750-25-M1-IA-IL-CLA-Index-Education,Stat 4 = Info - C 131,UCE 1 INTRODUCTION A L'INTELL,LEFEVRE Fabrice,Evaluation,,AI-CLA
2023-09-12T11:00:00Z,2023-09-12T12:30:00Z,Cours-31014-12-M1-IA-IL-CLA-Index-Education,Amphi Blaise,UCE 2 PROGRAMMATION PARALLELE,ROUVIER Mickael,CM,,AI-CLA
2023-11-09T10:30:00Z,2023-11-09T12:00:00Z,Cours-31017-20-M1-IA-IL-CLA-Index-Education,S3 = C 036,UCE 1 ANGLAIS (ORIENTE ENTREP,REY Carole,TP,,AI-CLA
2023-10-05T08:00:00Z,2023-10-05T11:00:00Z,Cours-31194-15-M1-IA-IL-CLA-Index-Education,Stat 4 = Info - C 131,UCE 1 DESIGN PATTERN AVANCE,NABITZ Sophie,TP,,AI-CLA
2023-10-05T12:30:00Z,2023-10-05T15:30:00Z,Cours-31195-15-M1-IA-IL-CLA-Index-Education,Stat 7 = Info - C 128,UCE 1 DESIGN PATTERN AVANCE,NABITZ Sophie,TP,,AI-CLA
2023-10-11T06:30:00Z,2023-10-11T09:30:00Z,Cours-31202-16-M1-IA-IL-CLA-Index-Education,Amphi Ada,UCE 1 DESIGN PATTERN AVANCE,NABITZ Sophie,CM,,AI-CLA
2023-11-15T07:30:00Z,2023-11-15T09:00:00Z,Cours-31662-21-M1-IA-IL-CLA-Index-Education,S5 = C 024,UCE 4 TRAITEMENT AUTOMATIQUE,ROUVIER Mickael,CM,,AI-CLA
2023-10-20T12:30:00Z,2023-10-20T14:00:00Z,Cours-31796-17-M1-IA-IL-CLA-Index-Education,S4 = C 034,UCE 2 APPRENTISSAGE NON-SUPER,LABATUT Vincent,TD,,AI-CLA
2023-12-07T16:30:00Z,2023-12-07T18:00:00Z,Cours-31806-24-M1-IA-IL-CLA-Index-Education,Amphi Ada,UCE 1 DESIGN PATTERN AVANCE,NABITZ Sophie,Evaluation,,AI-CLA
2023-11-15T13:30:00Z,2023-11-15T15:00:00Z,Cours-32022-21-M1-IA-IL-CLA-Index-Education,S6 = C 022,UCE 2 APPRENTISSAGE NON-SUPER,LABATUT Vincent,TD,,AI-CLA
2023-10-12T11:00:00Z,2023-10-12T14:00:00Z,Cours-32690-16-M1-IA-IL-CLA-Index-Education,Stat 2 = Info - C 136,UCE 1 DESIGN PATTERN AVANCE,NABITZ Sophie,TP,,AI-CLA
2023-12-08T07:30:00Z,2023-12-08T09:00:00Z,Cours-33401-24-M1-IA-IL-CLA-Index-Education,S5 = C 024,UCE 3 OPTIMISATION NON-LINEAI,GUEYE Serigne,CM,,AI-CLA
2023-11-17T09:00:00Z,2023-11-17T12:00:00Z,Cours-33406-21-M1-IA-IL-CLA-Index-Education,Amphi Ada,UCE 3 OPTIMISATION NON-LINEAI,GUEYE Serigne,CM,,AI-CLA
2023-12-07T07:30:00Z,2023-12-07T09:00:00Z,Cours-33407-24-M1-IA-IL-CLA-Index-Education,Amphi Ada,UCE 3 OPTIMISATION NON-LINEAI,GUEYE Serigne,CM,,AI-CLA
2023-12-22T07:30:00Z,2023-12-22T10:30:00Z,Cours-33408-26-M1-IA-IL-CLA-Index-Education,Stat9 = Info - C 026,UCE 3 OPTIMISATION NON-LINEAI,GUEYE Serigne,CM,,AI-CLA
2023-11-10T12:00:00Z,2023-11-10T15:00:00Z,Cours-33411-20-M1-IA-IL-CLA-Index-Education,Amphi Ada,UCE 3 OPTIMISATION NON-LINEAI,GUEYE Serigne,CM,,AI-CLA
2023-12-21T13:30:00Z,2023-12-21T15:00:00Z,Cours-33440-26-M1-IA-IL-CLA-Index-Education,S6 = C 022,UCE 2 INSERTION PROFESSIONNEL,BROCHARD Marc,Evaluation,NE PAS DEPLACER,AI-CLA
