dtstart,dtend,uid,location,Matiere,Enseignants,Type,Memo,Formation
2023-09-21T14:00:00Z,2023-09-21T17:00:00Z,Cours-31240-13-M1-ILSEN-cla-Gr1-Index-Education,Stat 1 = Info - C 137,UCE 1 DESIGN PATTERN AVANCE,NABITZ Sophie,TP,,ILSEN-CLA
2023-12-08T12:00:00Z,2023-12-08T13:30:00Z,Cours-31263-24-M1-ILSEN-cla-Gr1-Index-Education,S3 = C 036,UCE 1 ANGLAIS (ORIENTE ENTREP,REY Carole,TP,,ILSEN-CLA
2023-12-15T12:00:00Z,2023-12-15T13:30:00Z,Cours-31263-25-M1-ILSEN-cla-Gr1-Index-Education,S3 = C 036,UCE 1 ANGLAIS (ORIENTE ENTREP,REY Carole,TP,,ILSEN-CLA
2023-12-06T15:00:00Z,2023-12-06T18:00:00Z,Cours-31632-24-M1-ILSEN-cla-Gr1-Index-Education,CISCO = C 133 reseaux,UCE 1 ARCHITECTURES CLOUD ET,NABITZ Sophie,TP,,ILSEN-CLA
2023-12-07T16:30:00Z,2023-12-07T18:00:00Z,Cours-31806-24-M1-ILSEN-cla-Gr1-Index-Education,Amphi Ada,UCE 1 DESIGN PATTERN AVANCE,NABITZ Sophie,Evaluation,,ILSEN-CLA
2023-12-14T15:00:00Z,2023-12-14T18:00:00Z,Cours-31918-25-M1-ILSEN-cla-Gr1-Index-Education,CISCO = C 133 reseaux,UCE 1 ARCHITECTURES CLOUD ET,NABITZ Sophie,TP,,ILSEN-CLA
2023-12-06T09:00:00Z,2023-12-06T12:00:00Z,Cours-32068-24-M1-ILSEN-cla-Gr1-Index-Education,RES = C 132 Reseaux,UCE 1 ARCHITECTURES CLOUD ET,NABITZ Sophie,TP,,ILSEN-CLA
2023-12-21T13:30:00Z,2023-12-21T15:00:00Z,Cours-33440-26-M1-ILSEN-cla-Gr1-Index-Education,S6 = C 022,UCE 2 INSERTION PROFESSIONNEL,BROCHARD Marc,Evaluation,NE PAS DEPLACER,ILSEN-CLA
2023-12-22T15:00:00Z,2023-12-22T18:00:00Z,Cours-33494-26-M1-ILSEN-cla-Gr1-Index-Education,Amphi Ada,UCE 2 INSERTION PROFESSIONNEL,BROCHARD Marc,TD,NE PAS DEPLACER,ILSEN-CLA
2023-11-24T09:00:00Z,2023-11-24T12:00:00Z,Cours-33514-22-M1-ILSEN-cla-Gr1-Index-Education,"CERI, Stat 2 = Info - C 136, Stat 3 = Info - C 135",UCE 4 APPLICATION DE CONCEPTI,ROUVIER Mickael,TP,,ILSEN-CLA
