dtstart,dtend,uid,salle,Matiere,Enseignants,Type,Memo,Formation
2024-03-12T10:30:00Z,2024-03-12T11:30:00Z,Cours-52605-38-M1-ILSEN-alt-GR1-Index-Education,Amphi Ada,Reservation de salles,HUET Stephane,,Reunion mi-semestre alternance,ILSEN-ALT
2024-02-05T07:30:00Z,2024-02-05T10:30:00Z,Cours-53277-33-M1-ILSEN-alt-GR1-Index-Education,S4 = C 034,UCE 1 TECHNIQUES DE TEST,FERREIRA Emmanuel,CM,,ILSEN-ALT
2024-03-05T15:00:00Z,2024-03-05T18:00:00Z,Cours-73552-37-M1-ILSEN-alt-GR1-Index-Education,Stat 2 = Info - C 136,UCE 3 PROCESSUS DU DEVELOPPEM,BONNEFOY Ludovic,TP,,ILSEN-ALT
2024-02-13T07:30:00Z,2024-02-13T10:30:00Z,Cours-73553-34-M1-ILSEN-alt-GR1-Index-Education,Stat 8 = Info - C 127,UCE 1 TECHNIQUES DE TEST,BONNEFOY Ludovic,TP,,ILSEN-ALT
2024-03-05T07:30:00Z,2024-03-05T10:30:00Z,Cours-73553-37-M1-ILSEN-alt-GR1-Index-Education,Stat 2 = Info - C 136,UCE 1 TECHNIQUES DE TEST,BONNEFOY Ludovic,TP,,ILSEN-ALT
2024-03-12T07:30:00Z,2024-03-12T10:30:00Z,Cours-73553-38-M1-ILSEN-alt-GR1-Index-Education,Stat 7 = Info - C 128,UCE 1 TECHNIQUES DE TEST,BONNEFOY Ludovic,TP,,ILSEN-ALT
2024-04-09T08:00:00Z,2024-04-09T09:30:00Z,Cours-53315-42-M1-ILSEN-alt-GR1-Index-Education,Stat 4 = Info - C 131,UCE 1 TECHNIQUES DE TEST,BONNEFOY Ludovic,TP,,ILSEN-ALT
2024-02-06T15:00:00Z,2024-02-06T18:00:00Z,Cours-53321-33-M1-ILSEN-alt-GR1-Index-Education,Stat 3 = Info - C 135,UCE 1 TECHNIQUES DE TEST,BONNEFOY Ludovic,TP,,ILSEN-ALT
2024-03-19T15:00:00Z,2024-03-19T18:00:00Z,Cours-53321-39-M1-ILSEN-alt-GR1-Index-Education,Stat 6 = Info - C 129,UCE 1 TECHNIQUES DE TEST,BONNEFOY Ludovic,TP,,ILSEN-ALT
2024-01-29T15:00:00Z,2024-01-29T18:00:00Z,Cours-53326-32-M1-ILSEN-alt-GR1-Index-Education,S4 = C 034,UCE 1 TECHNIQUES DE TEST,SALAS Daniel,CM,,ILSEN-ALT
2024-04-15T08:00:00Z,2024-04-15T09:30:00Z,Cours-53327-43-M1-ILSEN-alt-GR1-Index-Education,Amphi Ada,UCE 1 TECHNIQUES DE TEST,SALAS Daniel,Evaluation,,ILSEN-ALT
