dtstart,dtend,uid,Matiere,Enseignants,TD,Salle,Type,Memo
2023-11-16T10:30:00Z,2023-11-16T12:00:00Z,Cours-5262-21-M1-ILSEN-cla-Gr1-Index-Education,UCE 2 MANAGEMENT PAR LES PROC,PUY CAZCARRA Emmanuel,"M1-IA-IL-ALT, M1-IA-IL-CLA, M1-ILSEN-alt-GR2, M1-ILSEN-cla-Gr1, M1-SICOM-Alt, M1-SICOM-Cla",Amphi Ada,CM,
2023-12-07T09:00:00Z,2023-12-07T12:00:00Z,Cours-5265-24-M1-ILSEN-cla-Gr1-Index-Education,UCE 2 MANAGEMENT PAR LES PROC,PUY CAZCARRA Emmanuel,"M1-IA-IL-ALT, M1-IA-IL-CLA, M1-ILSEN-alt-GR2, M1-ILSEN-cla-Gr1, M1-SICOM-Alt, M1-SICOM-Cla",Amphi Ada,CM,
2023-12-12T09:00:00Z,2023-12-12T12:00:00Z,Cours-5271-25-M1-ILSEN-cla-Gr1-Index-Education,UCE 2 MANAGEMENT PAR LES PROC,MARTIN Yannis,"M1-IA-IL-ALT, M1-IA-IL-CLA, M1-ILSEN-alt-GR2, M1-ILSEN-cla-Gr1, M1-SICOM-Alt, M1-SICOM-Cla",Amphi Ada,CM,
2024-01-10T12:00:00Z,2024-01-10T13:30:00Z,Cours-5278-29-M1-ILSEN-cla-Gr1-Index-Education,UCE 2 MANAGEMENT PAR LES PROC,"MARTIN Yannis, PUY CAZCARRA Emmanuel","M1-IA-IL-ALT, M1-IA-IL-CLA, M1-ILSEN-alt-GR2, M1-ILSEN-cla-Gr1, M1-SICOM-Alt, M1-SICOM-Cla",Amphi Blaise,Evaluation,
2023-09-14T11:00:00Z,2023-09-14T14:00:00Z,Cours-5302-12-M1-ILSEN-cla-Gr1-Index-Education,UCE 3 GESTION DE PROJET,COSTA Jean-pierre,"M1-IA-IL-ALT, M1-IA-IL-CLA, M1-ILSEN-alt-GR2, M1-ILSEN-cla-Gr1, M1-SICOM-Alt, M1-SICOM-Cla",Amphi Blaise,CM,
2023-09-14T14:00:00Z,2023-09-14T17:00:00Z,Cours-5304-12-M1-ILSEN-cla-Gr1-Index-Education,UCE 3 GESTION DE PROJET,COSTA Jean-pierre,"M1-IA-IL-ALT, M1-IA-IL-CLA, M1-ILSEN-alt-GR1, M1-ILSEN-alt-GR2, M1-ILSEN-cla-Gr1, M1-ILSEN-cla-Gr2, M1-SICOM-Alt, M1-SICOM-Cla",Amphi Blaise,CM,
2023-10-12T14:00:00Z,2023-10-12T17:00:00Z,Cours-5335-16-M1-ILSEN-cla-Gr1-Index-Education,UCE 3 GESTION DE PROJET,COSTA Jean-pierre,Type : TD,S4 = C 034,,
2023-09-19T08:00:00Z,2023-09-19T11:00:00Z,Cours-5336-13-M1-ILSEN-cla-Gr1-Index-Education,UCE 3 GESTION DE PROJET,COSTA Jean-pierre,Type : TD,S2 = C 040,,
2023-10-16T11:00:00Z,2023-10-16T14:00:00Z,Cours-5350-17-M1-ILSEN-cla-Gr1-Index-Education,UCE 3 GESTION DE PROJET,COSTA Jean-pierre,Type : TD,S6 = C 022,,
2023-11-06T07:30:00Z,2023-11-06T10:30:00Z,Cours-5352-20-M1-ILSEN-cla-Gr1-Index-Education,UCE 3 GESTION DE PROJET,COSTA Jean-pierre,Type : TD,S4 = C 034,,
